"","Value","Duration","Start","End","mean_x","mean_y","POGsdSacAmp","RMS","subj","trial_id","stim","session_id","Order","Trial"
"1","f",1186.66666666667,1,1186.66666666667,966.835092081531,551.37576743952,0.412925675081101,0.257537549575074,"D","casa","casa",1,1,1
"3","f",526.666666666667,1314.33333333333,1840,1029.35902779012,149.125375095802,0.376913850470259,0.295692665785038,"D","casa","casa",1,3,1
"5","f",353.333333333333,1847.66666666667,2200,1111.26538913655,136.486833392449,0.353722626688065,0.28388532056107,"D","casa","casa",1,5,1
"7","f",173.333333333333,2227.66666666667,2400,1138.78855221088,245.648079505333,0.213008260289216,0.194127646550454,"D","casa","casa",1,7,1
"9","f",506.666666666667,2427.66666666667,2933.33333333333,1145.81393723739,413.846620986336,0.330879236696887,0.219698726059981,"D","casa","casa",1,9,1
"11","f",300,2954.33333333333,3253.33333333333,1153.11103990343,543.136799928877,0.420965354441792,0.300169383876449,"D","casa","casa",1,11,1
"13","f",1680,3281,4960,967.58240003294,733.567328498477,0.695198659914852,0.253622807465997,"D","casa","casa",1,13,1
"15","f",146.666666666667,4967.66666666667,5113.33333333333,905.427490754561,800.918673428622,0.396441717810993,0.340839811550383,"D","casa","casa",1,15,1
"17","f",1066.66666666667,5127.66666666667,6193.33333333333,789.498300266266,912.45818195343,0.725197559902372,0.267379260492324,"D","casa","casa",1,17,1
"19","f",686.666666666667,6247.66666666667,6933.33333333333,686.021777773366,506.369691441939,0.721873289957589,0.304713033931864,"D","casa","casa",1,19,1
"21","f",673.333333333333,6947.66666666667,7620,680.239081732117,396.866797532185,0.317958059874475,0.263444460201163,"D","casa","casa",1,21,1
"23","f",300,7634.33333333333,7933.33333333333,675.039357503255,307.738918897841,0.344613602795099,0.339494338559061,"D","casa","casa",1,23,1
"25","f",366.666666666667,7947.66666666667,8313.33333333333,685.389906033603,258.266290005771,0.407416267978306,0.262344983874006,"D","casa","casa",1,25,1
"27","f",553.333333333333,8347.66666666667,8900,834.474448330431,343.597641358893,0.397279272289073,0.252739089385503,"D","casa","casa",1,27,1
